id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
1	nec lab euro gmbh (nide-c)	<table><tr><td>NEC LAB EURO GMBH (NIDE-C)</td></tr><tr><td>Peso: 4</td></tr></table>	0.8233	0.5281	16	4	4	4	1
2	lunit inc (luni-non-standard)	<table><tr><td>LUNIT INC (LUNI-Non-standard)</td></tr><tr><td>Peso: 7</td></tr></table>	-0.6455	-0.6156	11	10	10	10	1
3	beijing ..chnology co (bdca-c)	<table><tr><td>BEIJING BAIDU NETCOM SCI & TECHNOLOGY CO (BDCA-C)</td></tr><tr><td>Peso: 79</td></tr></table>	-0.8091	0.8015	4	114	114	114	1
4	univ nanjing (unaj-c)	<table><tr><td>UNIV NANJING (UNAJ-C)</td></tr><tr><td>Peso: 33</td></tr></table>	0.2317	0.6343	4	35	35	35	1
5	pingan t..zhen co ltd (ping-c)	<table><tr><td>PINGAN TECHNOLOGY SHENZHEN CO LTD (PING-C)</td></tr><tr><td>Peso: 71</td></tr></table>	-0.1992	-0.4455	4	95	95	95	1
6	electron..om res inst (etri-c)	<table><tr><td>ELECTRONICS & TELECOM RES INST (ETRI-C)</td></tr><tr><td>Peso: 19</td></tr></table>	-0.1677	0.2844	16	24	24	24	1
7	samsung sds co ltd (smsu-c)	<table><tr><td>SAMSUNG SDS CO LTD (SMSU-C)</td></tr><tr><td>Peso: 7</td></tr></table>	0.4098	0.2649	16	7	7	7	1
8	univ guangzhou (ungz-c)	<table><tr><td>UNIV GUANGZHOU (UNGZ-C)</td></tr><tr><td>Peso: 8</td></tr></table>	-0.7613	0.8979	4	9	9	9	1
9	baidu on..logy co ltd (bidu-c)	<table><tr><td>BAIDU ON-LINE NETWORK TECHNOLOGY CO LTD (BIDU-C)</td></tr><tr><td>Peso: 8</td></tr></table>	-0.2192	-0.8636	4	8	8	8	1
10	guangdon.. (guan-non-standard)	<table><tr><td>GUANGDONG WANZHANG JINSHU INFORMATION (GUAN-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.1922	-0.9089	4	1	1	1	1
11	univ shaanxi normal (unsn-c)	<table><tr><td>UNIV SHAANXI NORMAL (UNSN-C)</td></tr><tr><td>Peso: 6</td></tr></table>	0.133	-0.1878	4	6	6	6	1
12	guangdon..en hospital (gdpe-c)	<table><tr><td>GUANGDONG GEN HOSPITAL (GDPE-C)</td></tr><tr><td>Peso: 2</td></tr></table>	0.1394	0.6424	4	2	2	2	1
13	bionlink.. (bion-non-standard)	<table><tr><td>BIONLINK BEIJING TECHNOLOGY CO LTD (BION-Non-standard)</td></tr><tr><td>Peso: 1</td></tr></table>	0.9464	0.8919	4	1	1	1	1
14	beijing .. (beij-non-standard)	<table><tr><td>BEIJING INFERVISION TECHNOLOGY CO LTD (BEIJ-Non-standard)</td></tr><tr><td>Peso: 3</td></tr></table>	-0.1769	-0.8877	4	3	3	3	1
15	univ bei.. technology (uybt-c)	<table><tr><td>UNIV BEIJING TECHNOLOGY (UYBT-C)</td></tr><tr><td>Peso: 31</td></tr></table>	-0.7879	-0.7311	4	35	35	35	1
16	baidu on..ogy beijing (bidu-c)	<table><tr><td>BAIDU ONLINE NETWORK TECHNOLOGY BEIJING (BIDU-C)</td></tr><tr><td>Peso: 8</td></tr></table>	0.3013	0.8716	4	23	23	23	1
17	facebook inc (fabk-c)	<table><tr><td>FACEBOOK INC (FABK-C)</td></tr><tr><td>Peso: 13</td></tr></table>	0.9151	0.5589	16	18	18	18	1
18	univ tokyo (uyty-c)	<table><tr><td>UNIV TOKYO (UYTY-C)</td></tr><tr><td>Peso: 3</td></tr></table>	-0.2355	0.6874	10	3	3	3	1
19	enlive i.. (enli-non-standard)	<table><tr><td>ENLIVE INC (ENLI-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	-0.2932	-0.492	10	2	2	2	1
20	orange t.. (oran-non-standard)	<table><tr><td>ORANGE TECHLAB INC (ORAN-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	0.9555	0.398	10	2	2	2	1
21	saito m (sait-individual)	<table><tr><td>SAITO M (SAIT-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	0.1377	-0.419	10	1	1	1	1
22	fukunaga d (fuku-individual)	<table><tr><td>FUKUNAGA D (FUKU-Individual)</td></tr><tr><td>Peso: 1</td></tr></table>	-0.9081	-0.4267	10	1	1	1	1
23	futu net.. (futu-non-standard)	<table><tr><td>FUTU NETWORK TECHNOLOGY SHENZHEN CO LTD (FUTU-Non-standard)</td></tr><tr><td>Peso: 2</td></tr></table>	0.0834	0.7054	4	2	2	2	1
24	tencent ..zhen co ltd (tnct-c)	<table><tr><td>TENCENT TECHNOLOGY SHENZHEN CO LTD (TNCT-C)</td></tr><tr><td>Peso: 103</td></tr></table>	0.9548	-0.451	4	158	158	158	1
25	china co..r bank corp (ccbc-c)	<table><tr><td>CHINA CONSTR BANK CORP (CCBC-C)</td></tr><tr><td>Peso: 18</td></tr></table>	0.6035	-0.5944	4	18	18	18	1
26	bank of america corp (bamc-c)	<table><tr><td>BANK OF AMERICA CORP (BAMC-C)</td></tr><tr><td>Peso: 7</td></tr></table>	-0.7745	-0.0362	16	8	8	8	1
27	univ tai.. technology (uytl-c)	<table><tr><td>UNIV TAIYUAN TECHNOLOGY (UYTL-C)</td></tr><tr><td>Peso: 8</td></tr></table>	0.0807	-0.2777	4	8	8	8	1
28	univ sun yat-sen (uysy-c)	<table><tr><td>UNIV SUN YAT-SEN (UYSY-C)</td></tr><tr><td>Peso: 41</td></tr></table>	-0.1066	0.5749	4	46	46	46	1
29	samsung ..nics co ltd (smsu-c)	<table><tr><td>SAMSUNG ELECTRONICS CO LTD (SMSU-C)</td></tr><tr><td>Peso: 26</td></tr></table>	0.3339	0.2631	16	52	52	52	1
